Code ALF;Statut;Libellé ALF;Libellé Commercial;Texte Commercial;Famille;Type de produit;Conclusion;Univers;Marché;Code Mercure;Code ADV;Code VAD;Engagement;Jour de facturation;Tarif;Date de fin;Non affiché;Score CRM;CGV;Type de commande
IR120013;C;Activation TV Orange par ADSL;Activation de la TV d'Orange par ADSL;La TV d'Orange vous permet d'accéder sur votre téléviseur à de nombreuses chaînes et des services interactifs inclus. C'est aussi un catalogue riche de bouquets TV et services optionnels pour composer votre offre sur mesure.\r\n- Sous réserve d'éligibilité technique.\r\n- Bouquets payants et programmes à la demande vendus séparément, coûts en sus.;Activation TV;Information;;Internet;R;;;;0;0;;;0;;;Internet
IR120015;C;Accès à Internet VDSL2;Accès à Internet VDSL2;Accès à Internet VDSL2 avec un débit descendant en général de 1 à 15Mbits/s, pouvant être compris entre 15 et 50Mbits/s pour certaines des lignes les plus courtes (moins de 1km) et un débit montant en général inférieur à 1Mbit/s pouvant atteindre 8 Mb/s pour certaines des lignes les plus courtes (moins de 1km), avec Livebox compatible et selon l'offre détenue, avec un débit descendant minimum garanti de 512Kbits/s.;Communication Internet Satellite;Information;;Internet;R;;;;;0;;;0;;;Internet
IR120042;C;Décodeur + carte d'accès TV (matériel conservé);Décodeur + carte d'accès TV (matériel conservé);;Décodeur;Produits;;Internet;R;;;;0;0;;;0;;;Internet
IR120186;C;bouquet musique classique;bouquet musique classique (sans engagement);Un bouquet dédié à la musique classique avec au programme des opéras, des ballets, des concertos, de la musique de chambre et du jazz. Retrouvez des productions variées et internationales.\r\n\r\nOption soumise à conditions, valable en France métropolitaine, réservée aux abonnés internet TV téléphone Orange sous réserve d'éligibilité technique.;Options TV;Options;;Internet;R;;;;0;0;11,00 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR120188;C;bouquet beIN SPORTS;bouquet beIN SPORTS (sans engagement);Une offre 100% multisports pour suivre les plus grands évènements !;Options TV;Options;;Internet;R;;;;;0;15,00 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR120190;C;bouquet sports max (en promo) 15eur pdt 2 mois;Promotion bouquet sports max à 15 euros pendant 2 mois puis 19 euros par mois;Adrénaline, émotions, compétition... : beIN SPORTS et encore plus de chaines sport. Grands événements, coulisses et magazines pour tous les passionnés de football et de sport. \r\nSuivez les championnats français et européens et les compétitions les plus prestigieuses sur beIN SPORTS, et profitez de 8 chaînes supplémentaires pour suivre de nombreuses autres disciplines.\r\n\r\nOption soumise à conditions, valable en France métropolitaine, réservée aux abonnés internet TV téléphone Orange sous réserve d'éligibilité.;Options TV;Options;;Internet;R;;;;;0;15,00 eur/mois pendant 2 mois puis 19,00 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR120194;C;bouquet Allemand;bouquet Allemand (sans engagement);Retrouvez de l'information en continu, du divertissement, du cinéma, des séries ainsi que des programmes pour enfants.\r\n;Options TV;Options;;Internet;R;;;;0;0;9,00 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR120195;C;bouquet Anglophone;bouquet Anglophone (sans engagement);"Retrouvez les chaînes anglophones pour toute la famille ; l'information 24h/24, les programmes jeunesses et séries cultes ainsi que les plus grands événements sportif. Enfin évadez-vous grâce à une chaîne consacrée aux voyages.\r\n";Options TV;Options;;Internet;R;;;;0;0;5,00 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR120197;C;bouquet Arabe max;bouquet Arabe max;Profitez des programmes riches et variés : divertissement, information, cinéma, séries, magazines, reportages, débats, dessins animés, programmes musicaux, concerts, festivals...\r\n\r\n;Options TV;Options;;Internet;R;;;;0;0;15,00 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR120198;C;bouquet Berbère;bouquet Berbère (sans engagement);Un concept original mêlant programmes familiaux de proximité, programmes 100% musique depuis les grands classiques des années 50's, 60's jusqu'aux derniers tubes à succès et programmes jeunesse de découverte et d'aventure pour les 4 - 14 ans.\r\n;Options TV;Options;;Internet;R;;;;0;0;6,00 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR120199;C;bouquet Chinois;bouquet Chinois (sans engagement);Retrouvez culture, histoire, mode et divertissement Chinois. Films classiques ou contemporains en passant le Kung Fu, les séries et événements sportifs.\r\n;Options TV;Options;;Internet;R;;;;0;0;8,88 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR120201;C;bouquet Italien;bouquet Italien (sans engagement);Retrouvez l'information politique italienne, de programmes généralistes orientés « famille », divertissement, science et culture.\r\n;Options TV;Options;;Internet;R;;;;0;0;6,00 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR120204;C;TV : bouquet adulte;bouquet adulte;(réservée aux adultes - code adulte nécessaire).;Options TV;Options;;Internet;R;;;;;0;12,99 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR120207;C;bouquet Espagnol;bouquet Espagnol (sans engagement);Retrouvez l'actualité 24/24 en Espagnol, profitez des programmes de la chaîne généraliste Antena 3 et soyez au plus près de la culture Espagnole avec les 3 chaînes locales de la Galice, de la Catalogne et du Pays Basque.\r\n;Options TV;Options;;Internet;R;;;;;0;6,00 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR120857;C;Sosh : porté par un autre n°mobile Orange;Offre Sosh portée par un autre numéro mobile Orange;;Communication Mobile;Information;;Internet;R;;;;;0;;;0;;;Autres
IR120961;C;Lettre aide à la résiliation auprès ancien FAI;Lettre aide à la résiliation auprès de votre ancien opérateur;Ci-joint un modèle de lettre pour vous aider à la résiliation de votre ancien opérateur.;Assistance résiliation;Information;;Internet;R;;;;;0;;;0;;modele_lettre_resiliation.pdf;Autres
IR120988;C;Cession;Cession;;Cession;Information;;Internet;R;;;;;0;;;0;;;Autres
IR130046;C;Illimité ligne VoIP vers mobiles;illimité ligne Livebox vers mobiles;Appelez en illimité les mobiles tous opérateurs de France métropolitaine et de la Zone d'Outre-Mer(1) depuis la ligne de téléphone par internet.\r\n- Offre sans engagement.\r\n- Hors numéros spéciaux et hors restrictions éventuelles mises en oeuvre par les opérateurs mobiles destinataires. Jusqu'à 250 correspondants différents par mois et 3h maximum par appel.\r\n- Option réservée aux clients détenteurs d'une offre Orange haut débit ou très haut débit incluant le téléphone par internet et n'ayant pas déjà les appels illimités vers les mobiles de France métropolitaine inclus dans leur offre. \r\n\r\n(1) Guadeloupe, Guyane française, Martinique, Réunion, Saint-Barthélémy, Saint-Martin, Mayotte, Saint-Pierre-et-Miquelon.;Options Communication;Options;;Internet;R;;;;;0;5,00 eur/mois;;0;;cs_illi_voip_vers_mobiles.pdf;Internet
IR130629;C;Prise Intérêt Fibre;Prise Intérêt Fibre;;Marquage;Information;;Internet;R;;;;;0;;;0;;;Autres
IR130631;C;bouquet intense;bouquet intense (sans engagement);Un seul bouquet pour satisfaire toutes les passions et toute la famille.\r\nCinéma, sport et divertissement sont au rendez-vous avec notamment OCS (films exclusifs et séries inédites(1)), beIN SPORTS, Paris Première, National Geographic Channel... Retrouvez des grandes marques de la TV, plus de 70 chaines et des centaines de programmes à la demande chaque mois.\r\n\r\nOption soumise à conditions, valable en France métropolitaine, réservée aux abonnés internet TV téléphone Orange sous réserve d'éligibilité technique. Non disponible pour les abonnés dont la TV est desservie par satellite. \r\n\r\n(1) Diffusés pour la 1ère fois à la télé en France.;Options TV;Options;;Internet;R;;;;;0;54,00 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR130692;C;bouquet Arabe;bouquet Arabe;Retrouvez les programmations musicales arabes, les films classiques, du divertissement pour toute la famille et chaînes jeunesse pour les petits et les adolescents.\r\n;Options TV;Options;;Internet;R;;;;;0;9,00 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR130942;C;MdM Fibre : -10eur 12mois (Rétractés Fibre) (MD);Remise -10 euros pendant 12 mois pour toute souscription à une offre Fibre;Vous bénéficiez d'une remise exceptionnelle de 10 euros par mois pendant 12 mois pour toute nouvelle souscription à une offre Fibre.;Avantages (migration);Options;;Internet;R;;;;;0;-10,00 eur/mois pendant 12 mois;;0;;;Internet
IR130944;C;MdM Livebox : -5 eur 12 mois (Rétention);Livebox : Remise -5 euros/mois pendant 12 mois;Vous bénéficiez d'une remise de 5 euros par mois pendant 12 mois.;Avantages (migration);Options;;Internet;R;;;;;0;-5,00 eur/mois pendant 12 mois;;0;;;Internet
